name,item_type,price,cost_price,sku,barcode,category,unit,track_stock,stock: Main Bar,stock: Small Bar,stock: Warehouse,low_stock_threshold
Detroit,product,2.00,1.33,SKU-056,6.0098E+12,,piece,yes,30.00,0.00,24.00,5.00
4th Steet,product,5.00,4.00,,6.0098E+12,,piece,yes,1.00,0.00,13.00,5.00
Amarula,product,20.00,12.00,SKU-051,,,piece,yes,0.00,0.00,0.00,5.00
Appletizer,product,1.50,1.20,SKU-060,,,piece,yes,0.00,0.00,0.00,5.00
Ascot,product,0.05,0.04,SKU-041,,,piece,yes,185.00,0.00,4400.00,10.00
Biscuits,product,0.50,0.38,SKU-074,,,piece,yes,0.00,0.00,0.00,5.00
Black Label 375ml,product,1.00,0.66,SKU-008,,,piece,yes,68.00,0.00,1080.00,5.00
Black Label 750ml,product,1.50,1.08,SKU-009,,,piece,yes,187.00,186.00,1836.00,20.00
Black Label Can 330mls,product,1.00,0.66,SKU-010,,,piece,yes,0.00,0.00,0.00,5.00
Blacklabel Dump,product,1.00,0.75,,,,piece,yes,0.00,0.00,0.00,5.00
BohlingerQ,product,2.00,1.25,SKU-016,,,piece,yes,0.00,0.00,0.00,10.00
Breeze,product,0.05,0.04,SKU-068,,,piece,yes,40.00,0.00,0.00,5.00
Brutal,product,2.00,1.38,,,,piece,yes,9.00,14.00,86.00,5.00
Burchells Gin,product,10.00,7.69,SKU-077,,,piece,yes,2.00,2.00,0.00,5.00
Can Soft Drinks,product,1.00,0.77,SKU-034,,,piece,yes,0.00,0.00,0.00,5.00
Cape Hope 200ml,product,1.00,0.83,SKU-036,,,piece,yes,33.00,8.00,144.00,5.00
Cape Hope 750ml,product,5.00,4.00,SKU-032,,,piece,yes,0.00,1.00,43.00,5.00
Cape to Rio,product,5.00,3.85,SKU-044,,,piece,yes,1.00,3.00,2.00,5.00
Captain,product,1.00,0.50,SKU-062,,,piece,yes,7.00,10.00,120.00,5.00
Castle Dump,product,1.00,0.77,SKU-061,,,piece,yes,2.00,10.00,24.00,5.00
